,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
0,./data/2023-05-26_10h09m_Subject 1.2.txt,C:\MED-PC\Data\2023-05-26_10h09m_Subject 1.2.txt,05/26/23,05/26/23,1.2,reward_competition_extention,CAGE1,2,10:09:07,11:37:38,CD1_reward_training,1
1,./data/2023-05-27_10h03m_Subject 1.1.txt,C:\MED-PC\Data\2023-05-27_10h03m_Subject 1.1.txt,05/27/23,05/27/23,1.1,reward_competition_extention,CAGE1,1,10:03:25,11:10:12,CD1_reward_training,1
2,./data/2023-05-26_10h09m_Subject 1.4.txt,C:\MED-PC\Data\2023-05-26_10h09m_Subject 1.4.txt,05/26/23,05/26/23,1.4,reward_competition_extention,CAGE1,4,10:09:07,11:37:38,CD1_reward_training,1
3,./data/2023-05-28_14h33m_Subject 1.1.txt,C:\MED-PC\Data\2023-05-28_14h33m_Subject 1.1.txt,05/28/23,05/28/23,1.1,reward_competition_extention,CAGE1,2,14:33:28,15:40:57,CD1_reward_training,1
4,./data/2023-05-26_10h09m_Subject 1.3.txt,C:\MED-PC\Data\2023-05-26_10h09m_Subject 1.3.txt,05/26/23,05/26/23,1.3,reward_competition_extention,CAGE1,3,10:09:07,11:37:38,CD1_reward_training,1
5,./data/2023-05-27_11h19m_Subject 1.3.txt,C:\MED-PC\Data\2023-05-27_11h19m_Subject 1.3.txt,05/27/23,05/27/23,1.3,reward_competition_extention,CAGE1,1,11:19:40,12:23:04,CD1_reward_training,1
6,./data/2023-05-27_11h19m_Subject 1.4.txt,C:\MED-PC\Data\2023-05-27_11h19m_Subject 1.4.txt,05/27/23,05/27/23,1.4,reward_competition_extention,CAGE1,2,11:19:40,12:23:04,CD1_reward_training,1
7,./data/2023-05-28_14h33m_Subject 1.4.txt,C:\MED-PC\Data\2023-05-28_14h33m_Subject 1.4.txt,05/28/23,05/28/23,1.4,reward_competition_extention,CAGE1,1,14:33:28,15:40:57,CD1_reward_training,1
8,./data/2023-05-27_10h03m_Subject 1.2.txt,C:\MED-PC\Data\2023-05-27_10h03m_Subject 1.2.txt,05/27/23,05/27/23,1.2,reward_competition_extention,CAGE1,2,10:03:25,11:10:12,CD1_reward_training,1
9,./data/2023-05-26_10h09m_Subject 1.1.txt,C:\MED-PC\Data\2023-05-26_10h09m_Subject 1.1.txt,05/26/23,05/26/23,1.1,reward_competition_extention,CAGE1,1,10:09:07,11:37:38,CD1_reward_training,1
